DATE,CNY,EUR,USD
2025-09-26,5.7986,48.4063,41.3658
2025-09-25,5.8152,48.4045,41.4901
2025-09-24,5.8126,48.6635,41.4563
2025-09-23,5.8237,48.9384,41.4189
2025-09-22,5.812,48.8083,41.3507
2025-09-21,5.813,48.5724,
2025-09-20,5.81465,,
2025-09-19,5.8163,48.6096,41.3857
2025-09-18,5.7788,48.4481,41.1013
2025-09-17,5.8022,48.6885,41.216
2025-09-16,5.7923,48.9036,41.208
2025-09-15,5.795,48.5195,41.2545
2025-09-14,5.7936499999999995,,
2025-09-13,5.7923,,
2025-09-12,5.7896,48.4028,41.25
2025-09-11,5.814,48.5622,41.3877
2025-09-10,5.7996,48.3004,41.3
2025-09-09,5.8064,48.4126,41.35
2025-09-08,5.7765,48.4501,41.185
2025-09-07,5.776400000000001,,
2025-09-06,5.7763,,
2025-09-05,5.7761,48.2828,41.2005
2025-09-04,5.79,48.1666,41.35
2025-09-03,5.7896,48.2203,41.35
2025-09-02,5.8029,48.2287,41.43
2025-09-01,5.7875,48.3782,41.31
2025-08-31,5.789975,,
2025-08-30,5.79245,,
2025-08-29,5.7974,48.31,41.34
2025-08-28,5.7926,48.2546,41.305
2025-08-27,5.7819,48.1427,41.365
2025-08-26,5.7809,48.1397,41.35
2025-08-25,5.7897,48.1064,41.405
2025-08-24,5.785275,,
2025-08-23,5.78085,,
2025-08-22,5.772,48.4595,41.36
2025-08-21,5.7447,47.8727,41.25
2025-08-20,5.7541,48.112,41.2925
2025-08-19,5.7577,48.1672,41.3541
2025-08-18,5.7482,48.1579,41.3
2025-08-17,5.749375000000001,,
2025-08-16,5.7505500000000005,,
2025-08-15,5.7529,48.3332,41.3175
2025-08-14,5.7728,48.281,41.45
2025-08-13,5.7759,48.5126,41.4425
2025-08-12,5.7806,48.445,41.5
2025-08-11,5.752,48.0301,41.35
2025-08-10,5.75605,,
2025-08-09,5.7600999999999996,,
2025-08-08,5.7682,48.2361,41.44
2025-08-07,5.7736,48.3685,41.4629
2025-08-06,5.782,48.4219,41.53
2025-08-05,5.7977,48.212,41.65
2025-08-04,5.8137,48.2916,41.735
2025-08-03,5.8093,,
2025-08-02,5.8049,,
2025-08-01,5.7961,48.4274,41.8
2025-07-31,5.7913,47.6026,41.7
2025-07-30,5.7964,47.561,41.7
2025-07-29,5.824,48.2623,41.8
2025-07-28,5.8179,48.3957,41.76
2025-07-27,5.8199749999999995,,
2025-07-26,5.82205,,
2025-07-25,5.8262,49.0387,41.7635
2025-07-24,5.8376,49.0676,41.765
2025-07-23,5.8368,49.1982,41.7925
2025-07-22,5.8203,49.0868,41.76
2025-07-21,5.8192,48.8405,41.76
2025-07-20,5.819050000000001,,
2025-07-19,5.8189,,
2025-07-18,5.8186,48.556,41.765
2025-07-17,5.8116,48.4133,41.75
2025-07-16,5.8361,48.7507,41.9
2025-07-15,5.8295,48.5096,41.815
2025-07-14,5.8343,48.7751,41.815
2025-07-13,5.83315,,
2025-07-12,5.832,,
2025-07-11,5.8297,48.8526,41.79
2025-07-10,5.8322,48.9608,41.845
2025-07-09,5.8216,48.9938,41.8
2025-07-08,5.8266,49.0105,41.8
2025-07-07,5.833,49.0001,41.85
2025-07-06,5.83075,,
2025-07-05,5.8285,,
2025-07-04,5.824,49.1538,41.73
2025-07-03,5.8264,49.1069,41.77
2025-07-02,5.8263,49.263,41.75
2025-07-01,5.8406,49.4102,41.85
2025-06-30,5.83,49.2305,41.765
2025-06-29,5.82685,,
2025-06-28,5.8237000000000005,,
2025-06-27,5.8174,48.9017,41.725
2025-06-26,5.7984,48.6273,41.56
2025-06-25,5.8012,48.5423,41.6333
2025-06-24,5.8244,48.4929,41.77
2025-06-23,5.8384,48.5308,41.92
2025-06-22,5.838975,,
2025-06-21,5.83955,,
2025-06-20,5.8407,48.3196,41.935
2025-06-19,5.821,48.0988,41.8433
2025-06-18,5.8021,47.8914,41.7136
2025-06-17,5.7856,47.7244,41.57
2025-06-16,5.7941,48.098,41.6
2025-06-15,5.789725000000001,,
2025-06-14,5.78535,,
2025-06-13,5.7766,47.9256,41.485
2025-06-12,5.768,47.933,41.375
2025-06-11,5.7735,47.7076,41.53
2025-06-10,5.7794,47.4595,41.54
2025-06-09,5.7832,47.4356,41.53
2025-06-08,5.777925,,
2025-06-07,5.7726500000000005,,
2025-06-06,5.7621,47.2052,41.4263
2025-06-05,5.7728,47.4112,41.4253
2025-06-04,5.7824,47.4369,41.5475
2025-06-03,5.7812,47.2522,41.555
2025-06-02,5.7898,47.6965,41.6855
2025-06-01,5.7858,,
2025-05-31,5.7818,,
2025-05-30,5.7738,47.1736,41.57
2025-05-29,5.7781,47.2176,41.521
2025-05-28,5.7728,46.9044,41.534
2025-05-27,5.7868,47.174,41.64
2025-05-26,5.7953,47.4311,41.65
2025-05-25,5.792025000000001,,
2025-05-24,5.78875,,
2025-05-23,5.7822,47.1875,41.52
2025-05-22,5.7606,46.8152,41.501
2025-05-21,5.7574,46.9869,41.4675
2025-05-20,5.7497,46.8357,41.51
2025-05-19,5.752,46.6605,41.5
2025-05-18,5.75395,,
2025-05-17,5.7559000000000005,,
2025-05-16,5.7598,46.3565,41.525
2025-05-15,5.7539,46.4008,41.47
2025-05-14,5.7554,46.3623,41.4875
2025-05-13,5.7651,46.4702,41.545
2025-05-12,5.763,46.0242,41.51
2025-05-11,5.7576,,
2025-05-10,5.7522,,
2025-05-09,5.7414,46.7355,41.55
2025-05-08,5.7433,46.6534,41.551
2025-05-07,5.7389,46.87,41.465
2025-05-06,5.7441,47.1364,41.455
2025-05-05,5.7132,47.0033,41.5425
2025-05-04,5.7113,,
2025-05-03,5.7094,,
2025-05-02,5.7056,46.8637,41.487
2025-05-01,5.7056,46.8492,41.487
2025-04-30,5.7056,46.9986,41.487
2025-04-29,5.7212,47.3523,41.59
