DATE,CNY,EUR,USD
2025-09-26,32.128777,35.921025,34.730712
2025-09-25,32.194900,35.922832,34.737142
2025-09-24,32.227851,35.925834,34.757191
2025-09-23,32.227005,35.929461,34.760895
2025-09-22,32.200852,35.933455,34.742226
2025-09-21,32.158039,35.935511,34.740445
2025-09-20,32.107918,35.933307,34.744903
2025-09-19,32.063023,35.927728,34.743347
2025-09-18,32.033037,35.921202,34.739549
2025-09-17,32.021860,35.916662,34.744435
2025-09-16,32.031200,35.916412,34.746166
2025-09-15,32.060464,35.920031,34.726541
2025-09-14,32.105234,35.923711,34.723237
2025-09-13,32.159161,35.924617,34.735474
2025-09-12,32.214672,35.922854,34.749371
2025-09-11,32.260262,35.920665,34.739720
2025-09-10,32.280892,35.921124,34.732595
2025-09-09,32.262369,35.925340,34.739191
2025-09-08,32.198799,35.931639,34.744427
2025-09-07,32.098298,35.936981,34.746481
2025-09-06,31.980204,35.939921,34.743151
2025-09-05,31.868113,35.938906,34.748525
2025-09-04,31.786556,35.933325,34.733454
2025-09-03,31.756175,35.925279,34.723441
2025-09-02,31.784330,35.917675,34.726658
2025-09-01,31.862707,35.913138,34.740072
2025-08-31,31.971575,35.914643,34.736028
2025-08-30,32.082888,35.923142,34.719705
2025-08-29,32.166476,35.933918,34.724377
2025-08-28,32.202891,35.941230,34.731156
2025-08-27,32.189359,35.942971,34.740056
2025-08-26,32.135189,35.940356,34.736701
2025-08-25,32.057203,35.936429,34.742136
2025-08-24,31.976025,35.935060,34.736304
2025-08-23,31.910406,35.936877,34.733493
2025-08-22,31.873850,35.938633,34.734405
2025-08-21,31.874410,35.937460,34.738823
2025-08-20,31.912919,35.932623,34.743512
2025-08-19,31.983171,35.925042,34.729906
2025-08-18,32.074971,35.916944,34.730635
2025-08-17,32.174789,35.911435,34.733406
2025-08-16,32.265624,35.909787,34.750328
2025-08-15,32.330347,35.912936,34.751963
2025-08-14,32.353675,35.921444,34.752496
2025-08-13,32.323595,35.932261,34.745472
2025-08-12,32.238901,35.939630,34.740358
2025-08-11,32.114955,35.939930,34.747814
2025-08-10,31.978913,35.933497,34.752667
2025-08-09,31.861425,35.923665,34.762128
2025-08-08,31.790854,35.917118,34.744945
2025-08-07,31.785034,35.918452,34.738538
2025-08-06,31.844946,35.925144,34.734021
2025-08-05,31.955034,35.931026,34.746419
2025-08-04,32.086864,35.932312,34.751999
2025-08-03,32.205773,35.928407,34.753061
2025-08-02,32.281485,35.921744,34.749681
2025-08-01,32.296215,35.916608,34.739021
2025-07-31,32.248053,35.914984,34.749005
2025-07-30,32.152465,35.915654,34.756356
2025-07-29,32.035752,35.917252,34.771663
2025-07-28,31.924124,35.919119,34.760868
2025-07-27,31.839807,35.919093,34.757557
2025-07-26,31.801105,35.915429,34.748743
2025-07-25,31.816541,35.907915,34.753075
2025-07-24,31.882591,35.897989,34.768372
2025-07-23,31.989481,35.890528,34.774015
2025-07-22,32.122690,35.892011,34.770994
2025-07-21,32.260515,35.903554,34.748354
2025-07-20,32.378189,35.918417,34.751099
2025-07-19,32.454984,35.928489,34.753912
2025-07-18,32.475078,35.928892,34.770688
2025-07-17,32.429850,35.920353,34.763321
2025-07-16,32.324097,35.909856,34.753981
2025-07-15,32.178979,35.904857,34.744707
2025-07-14,32.026569,35.906447,34.744568
2025-07-13,31.900733,35.911148,34.760613
2025-07-12,31.829108,35.915837,34.765268
2025-07-11,31.827069,35.918722,34.770618
2025-07-10,31.893451,35.919657,34.744911
2025-07-09,32.007959,35.919705,34.735861
2025-07-08,32.137507,35.919204,34.735476
2025-07-07,32.247410,35.918094,34.759547
2025-07-06,32.308800,35.919145,34.764029
2025-07-05,32.303463,35.925473,34.754044
2025-07-04,32.232459,35.935831,34.745142
2025-07-03,32.116374,35.945226,34.735399
2025-07-02,31.982111,35.947727,34.751727
2025-07-01,31.855053,35.940143,34.764533
2025-06-30,31.759690,35.926440,34.786605
2025-06-29,31.714681,35.916631,34.766070
2025-06-28,31.724729,35.917241,34.746378
2025-06-27,31.784631,35.926254,34.737594
2025-06-26,31.884816,35.937097,34.754678
2025-06-25,32.009696,35.943212,34.766223
2025-06-24,32.137672,35.941473,34.756764
2025-06-23,32.247755,35.934474,34.744294
2025-06-22,32.323914,35.926986,34.717733
2025-06-21,32.354084,35.920636,34.723694
2025-06-20,32.332022,35.915143,34.732093
2025-06-19,32.262291,35.911120,34.760549
2025-06-18,32.163879,35.909613,34.759546
2025-06-17,32.063509,35.910577,34.747125
2025-06-16,31.986395,35.912171,34.732778
2025-06-15,31.952175,35.910743,34.742171
2025-06-14,31.971306,35.904321,34.769463
2025-06-13,32.037539,35.896653,34.769564
2025-06-12,32.128744,35.894076,34.763152
